filename,class
DGE_all\2\26_DGE.tif,2
DGE_all\2\150_DGE.tif,2
DGE_all\2\332_DGE.tif,2
DGE_all\2\92_DGE.tif,2
DGE_all\2\327_DGE.tif,2
DGE_all\2\517_DGE.tif,2
DGE_all\2\492_DGE.tif,2
DGE_all\2\140_DGE.tif,2
DGE_all\2\227_DGE.tif,2
DGE_all\2\185_DGE.tif,2
DGE_all\2\207_DGE.tif,2
DGE_all\2\488_DGE.tif,2
DGE_all\2\491_DGE.tif,2
DGE_all\2\119_DGE.tif,2
DGE_all\2\463_DGE.tif,2
DGE_all\2\389_DGE.tif,2
DGE_all\2\183_DGE.tif,2
DGE_all\2\326_DGE.tif,2
DGE_all\2\124_DGE.tif,2
DGE_all\2\407_DGE.tif,2
DGE_all\2\219_DGE.tif,2
DGE_all\2\478_DGE.tif,2
DGE_all\2\299_DGE.tif,2
DGE_all\2\257_DGE.tif,2
DGE_all\2\169_DGE.tif,2
DGE_all\2\202_DGE.tif,2
DGE_all\2\81_DGE.tif,2
DGE_all\2\69_DGE.tif,2
DGE_all\2\78_DGE.tif,2
DGE_all\2\57_DGE.tif,2
DGE_all\2\317_DGE.tif,2
DGE_all\2\148_DGE.tif,2
DGE_all\2\343_DGE.tif,2
DGE_all\2\308_DGE.tif,2
DGE_all\2\238_DGE.tif,2
DGE_all\2\526_DGE.tif,2
DGE_all\2\386_DGE.tif,2
DGE_all\2\191_DGE.tif,2
DGE_all\2\275_DGE.tif,2
DGE_all\2\249_DGE.tif,2
DGE_all\2\419_DGE.tif,2
DGE_all\2\176_DGE.tif,2
DGE_all\2\429_DGE.tif,2
DGE_all\2\271_DGE.tif,2
DGE_all\2\285_DGE.tif,2
DGE_all\2\233_DGE.tif,2
DGE_all\2\534_DGE.tif,2
DGE_all\2\153_DGE.tif,2
DGE_all\2\330_DGE.tif,2
DGE_all\2\289_DGE.tif,2
DGE_all\2\525_DGE.tif,2
DGE_all\2\88_DGE.tif,2
DGE_all\2\485_DGE.tif,2
DGE_all\2\384_DGE.tif,2
DGE_all\2\293_DGE.tif,2
DGE_all\2\8_DGE.tif,2
DGE_all\2\10_DGE.tif,2
DGE_all\2\61_DGE.tif,2
DGE_all\2\45_DGE.tif,2
DGE_all\2\356_DGE.tif,2
DGE_all\2\352_DGE.tif,2
DGE_all\2\294_DGE.tif,2
DGE_all\2\177_DGE.tif,2
DGE_all\2\464_DGE.tif,2
DGE_all\2\164_DGE.tif,2
DGE_all\2\262_DGE.tif,2
DGE_all\2\284_DGE.tif,2
DGE_all\2\302_DGE.tif,2
DGE_all\2\128_DGE.tif,2
DGE_all\2\127_DGE.tif,2
DGE_all\2\502_DGE.tif,2
DGE_all\2\52_DGE.tif,2
DGE_all\2\187_DGE.tif,2
DGE_all\2\5_DGE.tif,2
DGE_all\2\499_DGE.tif,2
DGE_all\2\376_DGE.tif,2
DGE_all\2\537_DGE.tif,2
DGE_all\2\172_DGE.tif,2
DGE_all\2\198_DGE.tif,2
DGE_all\2\43_DGE.tif,2
DGE_all\2\387_DGE.tif,2
DGE_all\2\297_DGE.tif,2
DGE_all\2\425_DGE.tif,2
DGE_all\2\364_DGE.tif,2
DGE_all\2\15_DGE.tif,2
DGE_all\2\157_DGE.tif,2
DGE_all\2\357_DGE.tif,2
DGE_all\2\507_DGE.tif,2
DGE_all\2\248_DGE.tif,2
DGE_all\2\395_DGE.tif,2
DGE_all\2\393_DGE.tif,2
DGE_all\2\433_DGE.tif,2
DGE_all\2\489_DGE.tif,2
DGE_all\2\377_DGE.tif,2
DGE_all\2\231_DGE.tif,2
DGE_all\2\100_DGE.tif,2
DGE_all\2\282_DGE.tif,2
DGE_all\2\154_DGE.tif,2
DGE_all\2\253_DGE.tif,2
DGE_all\2\44_DGE.tif,2
DGE_all\2\21_DGE.tif,2
DGE_all\2\163_DGE.tif,2
DGE_all\2\256_DGE.tif,2
DGE_all\2\6_DGE.tif,2
DGE_all\2\362_DGE.tif,2
DGE_all\2\481_DGE.tif,2
DGE_all\2\204_DGE.tif,2
DGE_all\2\107_DGE.tif,2
DGE_all\2\435_DGE.tif,2
DGE_all\2\533_DGE.tif,2
DGE_all\2\68_DGE.tif,2
DGE_all\2\133_DGE.tif,2
DGE_all\2\24_DGE.tif,2
DGE_all\2\131_DGE.tif,2
DGE_all\2\479_DGE.tif,2
DGE_all\2\371_DGE.tif,2
DGE_all\2\48_DGE.tif,2
DGE_all\2\348_DGE.tif,2
DGE_all\2\170_DGE.tif,2
DGE_all\2\339_DGE.tif,2
DGE_all\2\410_DGE.tif,2
DGE_all\2\273_DGE.tif,2
DGE_all\2\117_DGE.tif,2
DGE_all\2\173_DGE.tif,2
DGE_all\2\503_DGE.tif,2
DGE_all\2\147_DGE.tif,2
DGE_all\2\251_DGE.tif,2
DGE_all\2\495_DGE.tif,2
DGE_all\2\179_DGE.tif,2
DGE_all\2\347_DGE.tif,2
DGE_all\2\171_DGE.tif,2
DGE_all\2\469_DGE.tif,2
DGE_all\2\182_DGE.tif,2
DGE_all\2\71_DGE.tif,2
DGE_all\2\14_DGE.tif,2
DGE_all\2\91_DGE.tif,2
DGE_all\2\443_DGE.tif,2
DGE_all\2\64_DGE.tif,2
DGE_all\2\375_DGE.tif,2
DGE_all\2\25_DGE.tif,2
DGE_all\2\37_DGE.tif,2
DGE_all\2\399_DGE.tif,2
DGE_all\2\196_DGE.tif,2
DGE_all\2\516_DGE.tif,2
DGE_all\2\32_DGE.tif,2
DGE_all\2\360_DGE.tif,2
DGE_all\2\23_DGE.tif,2
DGE_all\2\103_DGE.tif,2
DGE_all\2\535_DGE.tif,2
DGE_all\2\511_DGE.tif,2
DGE_all\2\396_DGE.tif,2
DGE_all\2\121_DGE.tif,2
DGE_all\2\161_DGE.tif,2
DGE_all\2\304_DGE.tif,2
DGE_all\2\456_DGE.tif,2
DGE_all\2\372_DGE.tif,2
DGE_all\2\110_DGE.tif,2
DGE_all\2\369_DGE.tif,2
DGE_all\2\417_DGE.tif,2
DGE_all\2\459_DGE.tif,2
DGE_all\2\156_DGE.tif,2
DGE_all\2\408_DGE.tif,2
DGE_all\2\394_DGE.tif,2
DGE_all\2\73_DGE.tif,2
DGE_all\2\378_DGE.tif,2
DGE_all\2\79_DGE.tif,2
DGE_all\2\47_DGE.tif,2
DGE_all\2\365_DGE.tif,2
DGE_all\2\239_DGE.tif,2
DGE_all\2\316_DGE.tif,2
DGE_all\2\483_DGE.tif,2
DGE_all\2\270_DGE.tif,2
DGE_all\2\486_DGE.tif,2
DGE_all\2\328_DGE.tif,2
DGE_all\2\220_DGE.tif,2
DGE_all\2\181_DGE.tif,2
DGE_all\2\353_DGE.tif,2
DGE_all\2\105_DGE.tif,2
DGE_all\2\480_DGE.tif,2
DGE_all\2\132_DGE.tif,2
DGE_all\2\82_DGE.tif,2
DGE_all\2\331_DGE.tif,2
DGE_all\2\241_DGE.tif,2
DGE_all\2\193_DGE.tif,2
DGE_all\2\291_DGE.tif,2
DGE_all\2\323_DGE.tif,2
DGE_all\2\472_DGE.tif,2
DGE_all\2\452_DGE.tif,2
DGE_all\2\144_DGE.tif,2
DGE_all\2\114_DGE.tif,2
DGE_all\2\418_DGE.tif,2
DGE_all\2\512_DGE.tif,2
DGE_all\2\312_DGE.tif,2
DGE_all\2\53_DGE.tif,2
DGE_all\2\295_DGE.tif,2
DGE_all\2\439_DGE.tif,2
DGE_all\2\222_DGE.tif,2
DGE_all\2\455_DGE.tif,2
DGE_all\2\409_DGE.tif,2
DGE_all\2\192_DGE.tif,2
DGE_all\2\12_DGE.tif,2
DGE_all\2\474_DGE.tif,2
DGE_all\2\269_DGE.tif,2
DGE_all\2\264_DGE.tif,2
DGE_all\2\194_DGE.tif,2
DGE_all\2\188_DGE.tif,2
DGE_all\2\42_DGE.tif,2
DGE_all\2\13_DGE.tif,2
DGE_all\2\296_DGE.tif,2
DGE_all\2\232_DGE.tif,2
DGE_all\2\366_DGE.tif,2
DGE_all\2\259_DGE.tif,2
DGE_all\2\215_DGE.tif,2
DGE_all\2\301_DGE.tif,2
DGE_all\2\379_DGE.tif,2
DGE_all\2\513_DGE.tif,2
DGE_all\2\221_DGE.tif,2
DGE_all\2\112_DGE.tif,2
DGE_all\2\116_DGE.tif,2
DGE_all\2\298_DGE.tif,2
DGE_all\2\31_DGE.tif,2
DGE_all\2\115_DGE.tif,2
DGE_all\2\400_DGE.tif,2
DGE_all\2\39_DGE.tif,2
DGE_all\2\383_DGE.tif,2
DGE_all\2\211_DGE.tif,2
DGE_all\2\422_DGE.tif,2
DGE_all\2\66_DGE.tif,2
DGE_all\2\87_DGE.tif,2
DGE_all\2\420_DGE.tif,2
DGE_all\2\97_DGE.tif,2
DGE_all\2\515_DGE.tif,2
DGE_all\2\139_DGE.tif,2
DGE_all\2\335_DGE.tif,2
DGE_all\2\4_DGE.tif,2
DGE_all\2\350_DGE.tif,2
DGE_all\2\497_DGE.tif,2
DGE_all\2\504_DGE.tif,2
DGE_all\2\519_DGE.tif,2
DGE_all\2\276_DGE.tif,2
DGE_all\2\541_DGE.tif,2
DGE_all\2\49_DGE.tif,2
DGE_all\2\180_DGE.tif,2
DGE_all\2\143_DGE.tif,2
DGE_all\2\514_DGE.tif,2
DGE_all\2\108_DGE.tif,2
DGE_all\2\290_DGE.tif,2
DGE_all\2\307_DGE.tif,2
DGE_all\2\303_DGE.tif,2
DGE_all\2\186_DGE.tif,2
DGE_all\2\96_DGE.tif,2
DGE_all\2\493_DGE.tif,2
DGE_all\2\250_DGE.tif,2
DGE_all\2\471_DGE.tif,2
DGE_all\2\152_DGE.tif,2
DGE_all\2\426_DGE.tif,2
DGE_all\2\310_DGE.tif,2
DGE_all\2\458_DGE.tif,2
DGE_all\2\403_DGE.tif,2
DGE_all\2\521_DGE.tif,2
DGE_all\2\401_DGE.tif,2
DGE_all\2\278_DGE.tif,2
DGE_all\2\213_DGE.tif,2
DGE_all\2\321_DGE.tif,2
DGE_all\2\538_DGE.tif,2
DGE_all\2\319_DGE.tif,2
DGE_all\2\287_DGE.tif,2
DGE_all\2\102_DGE.tif,2
DGE_all\2\305_DGE.tif,2
DGE_all\2\27_DGE.tif,2
DGE_all\2\90_DGE.tif,2
DGE_all\2\382_DGE.tif,2
DGE_all\2\449_DGE.tif,2
DGE_all\2\444_DGE.tif,2
DGE_all\2\93_DGE.tif,2
DGE_all\2\279_DGE.tif,2
DGE_all\2\244_DGE.tif,2
DGE_all\2\367_DGE.tif,2
DGE_all\2\484_DGE.tif,2
DGE_all\2\146_DGE.tif,2
DGE_all\2\438_DGE.tif,2
DGE_all\2\427_DGE.tif,2
DGE_all\2\104_DGE.tif,2
DGE_all\2\226_DGE.tif,2
DGE_all\2\460_DGE.tif,2
DGE_all\2\134_DGE.tif,2
DGE_all\2\125_DGE.tif,2
DGE_all\2\494_DGE.tif,2
DGE_all\2\325_DGE.tif,2
DGE_all\2\416_DGE.tif,2
DGE_all\2\530_DGE.tif,2
DGE_all\2\475_DGE.tif,2
DGE_all\2\167_DGE.tif,2
DGE_all\2\370_DGE.tif,2
DGE_all\2\388_DGE.tif,2
DGE_all\2\142_DGE.tif,2
DGE_all\2\201_DGE.tif,2
DGE_all\2\113_DGE.tif,2
DGE_all\2\413_DGE.tif,2
DGE_all\2\288_DGE.tif,2
DGE_all\2\349_DGE.tif,2
DGE_all\2\197_DGE.tif,2
DGE_all\2\450_DGE.tif,2
DGE_all\2\446_DGE.tif,2
DGE_all\2\19_DGE.tif,2
DGE_all\2\402_DGE.tif,2
DGE_all\2\368_DGE.tif,2
DGE_all\2\274_DGE.tif,2
DGE_all\2\340_DGE.tif,2
DGE_all\2\101_DGE.tif,2
DGE_all\2\392_DGE.tif,2
DGE_all\2\320_DGE.tif,2
DGE_all\2\374_DGE.tif,2
DGE_all\2\138_DGE.tif,2
DGE_all\2\29_DGE.tif,2
DGE_all\2\268_DGE.tif,2
DGE_all\2\509_DGE.tif,2
DGE_all\2\412_DGE.tif,2
DGE_all\2\536_DGE.tif,2
DGE_all\2\80_DGE.tif,2
DGE_all\2\373_DGE.tif,2
DGE_all\2\421_DGE.tif,2
DGE_all\2\162_DGE.tif,2
DGE_all\2\508_DGE.tif,2
DGE_all\2\397_DGE.tif,2
DGE_all\2\341_DGE.tif,2
DGE_all\2\361_DGE.tif,2
DGE_all\2\208_DGE.tif,2
DGE_all\2\209_DGE.tif,2
DGE_all\3\725_DGE.tif,3
DGE_all\3\910_DGE.tif,3
DGE_all\3\779_DGE.tif,3
DGE_all\3\943_DGE.tif,3
DGE_all\3\1064_DGE.tif,3
DGE_all\3\684_DGE.tif,3
DGE_all\3\972_DGE.tif,3
DGE_all\3\882_DGE.tif,3
DGE_all\3\890_DGE.tif,3
DGE_all\3\961_DGE.tif,3
DGE_all\3\982_DGE.tif,3
DGE_all\3\618_DGE.tif,3
DGE_all\3\891_DGE.tif,3
DGE_all\3\810_DGE.tif,3
DGE_all\3\868_DGE.tif,3
DGE_all\3\553_DGE.tif,3
DGE_all\3\989_DGE.tif,3
DGE_all\3\1059_DGE.tif,3
DGE_all\3\580_DGE.tif,3
DGE_all\3\565_DGE.tif,3
DGE_all\3\924_DGE.tif,3
DGE_all\3\626_DGE.tif,3
DGE_all\3\877_DGE.tif,3
DGE_all\3\1028_DGE.tif,3
DGE_all\3\625_DGE.tif,3
DGE_all\3\1027_DGE.tif,3
DGE_all\3\839_DGE.tif,3
DGE_all\3\686_DGE.tif,3
DGE_all\3\803_DGE.tif,3
DGE_all\3\763_DGE.tif,3
DGE_all\3\791_DGE.tif,3
DGE_all\3\563_DGE.tif,3
DGE_all\3\696_DGE.tif,3
DGE_all\3\756_DGE.tif,3
DGE_all\3\556_DGE.tif,3
DGE_all\3\789_DGE.tif,3
DGE_all\3\1010_DGE.tif,3
DGE_all\3\1016_DGE.tif,3
DGE_all\3\690_DGE.tif,3
DGE_all\3\1068_DGE.tif,3
DGE_all\3\723_DGE.tif,3
DGE_all\3\965_DGE.tif,3
DGE_all\3\1012_DGE.tif,3
DGE_all\3\918_DGE.tif,3
DGE_all\3\757_DGE.tif,3
DGE_all\3\915_DGE.tif,3
DGE_all\3\548_DGE.tif,3
DGE_all\3\984_DGE.tif,3
DGE_all\3\867_DGE.tif,3
DGE_all\3\872_DGE.tif,3
DGE_all\3\995_DGE.tif,3
DGE_all\3\675_DGE.tif,3
DGE_all\3\1080_DGE.tif,3
DGE_all\3\920_DGE.tif,3
DGE_all\3\841_DGE.tif,3
DGE_all\3\583_DGE.tif,3
DGE_all\3\682_DGE.tif,3
DGE_all\3\711_DGE.tif,3
DGE_all\3\793_DGE.tif,3
DGE_all\3\570_DGE.tif,3
DGE_all\3\837_DGE.tif,3
DGE_all\3\1030_DGE.tif,3
DGE_all\3\1052_DGE.tif,3
DGE_all\3\782_DGE.tif,3
DGE_all\3\764_DGE.tif,3
DGE_all\3\560_DGE.tif,3
DGE_all\3\955_DGE.tif,3
DGE_all\3\861_DGE.tif,3
DGE_all\3\878_DGE.tif,3
DGE_all\3\627_DGE.tif,3
DGE_all\3\567_DGE.tif,3
DGE_all\3\997_DGE.tif,3
DGE_all\3\876_DGE.tif,3
DGE_all\3\571_DGE.tif,3
DGE_all\3\643_DGE.tif,3
DGE_all\3\617_DGE.tif,3
DGE_all\3\788_DGE.tif,3
DGE_all\3\576_DGE.tif,3
DGE_all\3\758_DGE.tif,3
DGE_all\3\950_DGE.tif,3
DGE_all\3\719_DGE.tif,3
DGE_all\3\744_DGE.tif,3
DGE_all\3\1074_DGE.tif,3
DGE_all\3\898_DGE.tif,3
DGE_all\3\550_DGE.tif,3
DGE_all\3\552_DGE.tif,3
DGE_all\3\900_DGE.tif,3
DGE_all\3\822_DGE.tif,3
DGE_all\3\673_DGE.tif,3
DGE_all\3\996_DGE.tif,3
DGE_all\3\549_DGE.tif,3
DGE_all\3\806_DGE.tif,3
DGE_all\3\740_DGE.tif,3
DGE_all\3\790_DGE.tif,3
DGE_all\3\606_DGE.tif,3
DGE_all\3\726_DGE.tif,3
DGE_all\3\585_DGE.tif,3
DGE_all\3\551_DGE.tif,3
DGE_all\3\949_DGE.tif,3
DGE_all\3\708_DGE.tif,3
DGE_all\3\998_DGE.tif,3
DGE_all\3\622_DGE.tif,3
DGE_all\3\663_DGE.tif,3
DGE_all\3\851_DGE.tif,3
DGE_all\3\1025_DGE.tif,3
DGE_all\3\887_DGE.tif,3
DGE_all\3\741_DGE.tif,3
DGE_all\3\926_DGE.tif,3
DGE_all\3\962_DGE.tif,3
DGE_all\3\1077_DGE.tif,3
DGE_all\3\577_DGE.tif,3
DGE_all\3\1076_DGE.tif,3
DGE_all\3\564_DGE.tif,3
DGE_all\3\765_DGE.tif,3
DGE_all\3\801_DGE.tif,3
DGE_all\3\954_DGE.tif,3
DGE_all\3\694_DGE.tif,3
DGE_all\3\906_DGE.tif,3
DGE_all\3\847_DGE.tif,3
DGE_all\3\717_DGE.tif,3
DGE_all\3\601_DGE.tif,3
DGE_all\3\582_DGE.tif,3
DGE_all\3\971_DGE.tif,3
DGE_all\3\1040_DGE.tif,3
DGE_all\3\734_DGE.tif,3
DGE_all\3\1009_DGE.tif,3
DGE_all\3\836_DGE.tif,3
DGE_all\3\613_DGE.tif,3
DGE_all\3\975_DGE.tif,3
DGE_all\3\908_DGE.tif,3
DGE_all\3\599_DGE.tif,3
DGE_all\3\632_DGE.tif,3
DGE_all\3\737_DGE.tif,3
DGE_all\3\773_DGE.tif,3
DGE_all\3\808_DGE.tif,3
DGE_all\3\738_DGE.tif,3
DGE_all\3\649_DGE.tif,3
DGE_all\3\796_DGE.tif,3
DGE_all\3\709_DGE.tif,3
DGE_all\3\629_DGE.tif,3
DGE_all\3\942_DGE.tif,3
DGE_all\3\1044_DGE.tif,3
DGE_all\3\597_DGE.tif,3
DGE_all\3\794_DGE.tif,3
DGE_all\3\714_DGE.tif,3
DGE_all\3\792_DGE.tif,3
DGE_all\3\899_DGE.tif,3
DGE_all\3\992_DGE.tif,3
DGE_all\3\1036_DGE.tif,3
DGE_all\3\681_DGE.tif,3
DGE_all\3\770_DGE.tif,3
DGE_all\3\647_DGE.tif,3
DGE_all\3\919_DGE.tif,3
DGE_all\3\750_DGE.tif,3
DGE_all\3\557_DGE.tif,3
DGE_all\3\715_DGE.tif,3
DGE_all\3\628_DGE.tif,3
DGE_all\3\913_DGE.tif,3
DGE_all\3\983_DGE.tif,3
DGE_all\3\1041_DGE.tif,3
DGE_all\3\826_DGE.tif,3
DGE_all\3\767_DGE.tif,3
DGE_all\3\945_DGE.tif,3
DGE_all\3\780_DGE.tif,3
DGE_all\3\990_DGE.tif,3
DGE_all\3\860_DGE.tif,3
DGE_all\3\1050_DGE.tif,3
DGE_all\3\772_DGE.tif,3
DGE_all\3\811_DGE.tif,3
DGE_all\3\1007_DGE.tif,3
DGE_all\3\1003_DGE.tif,3
DGE_all\3\688_DGE.tif,3
DGE_all\3\607_DGE.tif,3
DGE_all\3\771_DGE.tif,3
DGE_all\3\783_DGE.tif,3
DGE_all\3\893_DGE.tif,3
DGE_all\3\559_DGE.tif,3
DGE_all\3\1034_DGE.tif,3
DGE_all\3\864_DGE.tif,3
DGE_all\3\664_DGE.tif,3
DGE_all\3\656_DGE.tif,3
DGE_all\3\669_DGE.tif,3
DGE_all\3\588_DGE.tif,3
DGE_all\3\814_DGE.tif,3
DGE_all\3\621_DGE.tif,3
DGE_all\3\1031_DGE.tif,3
DGE_all\3\973_DGE.tif,3
DGE_all\3\700_DGE.tif,3
DGE_all\3\994_DGE.tif,3
DGE_all\3\845_DGE.tif,3
DGE_all\3\716_DGE.tif,3
DGE_all\3\888_DGE.tif,3
DGE_all\3\881_DGE.tif,3
DGE_all\3\735_DGE.tif,3
DGE_all\3\587_DGE.tif,3
DGE_all\3\844_DGE.tif,3
DGE_all\3\885_DGE.tif,3
DGE_all\3\701_DGE.tif,3
DGE_all\3\909_DGE.tif,3
DGE_all\3\674_DGE.tif,3
DGE_all\3\944_DGE.tif,3
DGE_all\3\923_DGE.tif,3
DGE_all\3\736_DGE.tif,3
DGE_all\3\1079_DGE.tif,3
DGE_all\3\966_DGE.tif,3
DGE_all\3\936_DGE.tif,3
DGE_all\3\596_DGE.tif,3
DGE_all\3\1046_DGE.tif,3
DGE_all\3\968_DGE.tif,3
DGE_all\3\840_DGE.tif,3
DGE_all\3\986_DGE.tif,3
DGE_all\3\807_DGE.tif,3
DGE_all\3\640_DGE.tif,3
DGE_all\3\967_DGE.tif,3
DGE_all\3\762_DGE.tif,3
DGE_all\3\710_DGE.tif,3
DGE_all\3\993_DGE.tif,3
DGE_all\3\863_DGE.tif,3
DGE_all\3\951_DGE.tif,3
DGE_all\3\828_DGE.tif,3
DGE_all\3\960_DGE.tif,3
DGE_all\3\569_DGE.tif,3
DGE_all\3\602_DGE.tif,3
DGE_all\3\624_DGE.tif,3
DGE_all\3\904_DGE.tif,3
DGE_all\3\1017_DGE.tif,3
DGE_all\3\623_DGE.tif,3
DGE_all\3\665_DGE.tif,3
DGE_all\3\917_DGE.tif,3
DGE_all\3\894_DGE.tif,3
DGE_all\3\865_DGE.tif,3
DGE_all\3\554_DGE.tif,3
DGE_all\3\1039_DGE.tif,3
DGE_all\3\685_DGE.tif,3
DGE_all\3\787_DGE.tif,3
DGE_all\3\1022_DGE.tif,3
DGE_all\3\938_DGE.tif,3
DGE_all\3\731_DGE.tif,3
DGE_all\3\848_DGE.tif,3
DGE_all\3\795_DGE.tif,3
DGE_all\3\614_DGE.tif,3
DGE_all\3\785_DGE.tif,3
DGE_all\3\578_DGE.tif,3
DGE_all\3\774_DGE.tif,3
DGE_all\3\670_DGE.tif,3
DGE_all\3\922_DGE.tif,3
DGE_all\3\853_DGE.tif,3
DGE_all\3\594_DGE.tif,3
DGE_all\3\937_DGE.tif,3
DGE_all\3\637_DGE.tif,3
DGE_all\3\866_DGE.tif,3
DGE_all\3\615_DGE.tif,3
DGE_all\3\668_DGE.tif,3
DGE_all\3\657_DGE.tif,3
DGE_all\3\1008_DGE.tif,3
DGE_all\3\859_DGE.tif,3
DGE_all\3\824_DGE.tif,3
DGE_all\3\697_DGE.tif,3
DGE_all\3\612_DGE.tif,3
DGE_all\3\654_DGE.tif,3
DGE_all\3\1035_DGE.tif,3
DGE_all\3\880_DGE.tif,3
DGE_all\3\671_DGE.tif,3
DGE_all\3\816_DGE.tif,3
DGE_all\3\724_DGE.tif,3
DGE_all\3\914_DGE.tif,3
DGE_all\3\728_DGE.tif,3
DGE_all\3\600_DGE.tif,3
DGE_all\3\1051_DGE.tif,3
DGE_all\3\879_DGE.tif,3
DGE_all\3\689_DGE.tif,3
DGE_all\3\820_DGE.tif,3
DGE_all\3\739_DGE.tif,3
DGE_all\3\1020_DGE.tif,3
DGE_all\3\884_DGE.tif,3
DGE_all\3\633_DGE.tif,3
DGE_all\3\1023_DGE.tif,3
DGE_all\3\1053_DGE.tif,3
DGE_all\3\838_DGE.tif,3
DGE_all\3\1073_DGE.tif,3
DGE_all\3\1065_DGE.tif,3
DGE_all\3\679_DGE.tif,3
DGE_all\3\776_DGE.tif,3
DGE_all\3\798_DGE.tif,3
DGE_all\3\825_DGE.tif,3
DGE_all\3\659_DGE.tif,3
DGE_all\3\730_DGE.tif,3
DGE_all\3\732_DGE.tif,3
DGE_all\3\680_DGE.tif,3
DGE_all\3\802_DGE.tif,3
DGE_all\3\1058_DGE.tif,3
DGE_all\3\979_DGE.tif,3
DGE_all\3\755_DGE.tif,3
DGE_all\3\604_DGE.tif,3
DGE_all\3\678_DGE.tif,3
DGE_all\3\870_DGE.tif,3
DGE_all\3\916_DGE.tif,3
DGE_all\3\1062_DGE.tif,3
DGE_all\3\1066_DGE.tif,3
DGE_all\3\645_DGE.tif,3
DGE_all\3\896_DGE.tif,3
DGE_all\3\1013_DGE.tif,3
DGE_all\3\634_DGE.tif,3
DGE_all\3\959_DGE.tif,3
DGE_all\3\699_DGE.tif,3
DGE_all\3\1070_DGE.tif,3
DGE_all\3\815_DGE.tif,3
DGE_all\3\745_DGE.tif,3
DGE_all\3\754_DGE.tif,3
DGE_all\3\749_DGE.tif,3
DGE_all\3\704_DGE.tif,3
DGE_all\3\720_DGE.tif,3
DGE_all\3\980_DGE.tif,3
DGE_all\3\1055_DGE.tif,3
DGE_all\3\1056_DGE.tif,3
DGE_all\3\579_DGE.tif,3
DGE_all\3\729_DGE.tif,3
DGE_all\3\1037_DGE.tif,3
DGE_all\3\592_DGE.tif,3
DGE_all\3\1071_DGE.tif,3
DGE_all\3\947_DGE.tif,3
DGE_all\3\854_DGE.tif,3
DGE_all\3\1001_DGE.tif,3
DGE_all\3\1014_DGE.tif,3
DGE_all\3\695_DGE.tif,3
DGE_all\3\692_DGE.tif,3
DGE_all\3\833_DGE.tif,3
DGE_all\3\846_DGE.tif,3
DGE_all\3\581_DGE.tif,3
DGE_all\3\1026_DGE.tif,3
DGE_all\3\903_DGE.tif,3
DGE_all\3\964_DGE.tif,3
DGE_all\3\981_DGE.tif,3
DGE_all\3\566_DGE.tif,3
DGE_all\3\1018_DGE.tif,3
DGE_all\3\974_DGE.tif,3
DGE_all\3\574_DGE.tif,3
DGE_all\3\642_DGE.tif,3
DGE_all\3\722_DGE.tif,3
DGE_all\3\976_DGE.tif,3
DGE_all\3\912_DGE.tif,3
DGE_all\3\940_DGE.tif,3
DGE_all\3\1061_DGE.tif,3
DGE_all\3\905_DGE.tif,3
DGE_all\3\886_DGE.tif,3
DGE_all\3\683_DGE.tif,3
DGE_all\3\630_DGE.tif,3
DGE_all\3\818_DGE.tif,3
DGE_all\3\662_DGE.tif,3
DGE_all\3\589_DGE.tif,3
DGE_all\3\1042_DGE.tif,3
